"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KRT19",0,1.13070497270221,0.934,0.38,0,"Epithelial cells","KRT19"
"SPINK1",0,1.06687748096694,0.875,0.322,0,"Epithelial cells","SPINK1"
"S100P",0,1.04705915568738,0.847,0.325,0,"Epithelial cells","S100P"
"C19orf33",0,1.03321901650207,0.799,0.205,0,"Epithelial cells","C19orf33"
"TSPAN8",0,1.01662656383924,0.788,0.262,0,"Epithelial cells","TSPAN8"
"AGR2",0,1.01340317112116,0.916,0.432,0,"Epithelial cells","AGR2"
"FXYD3",0,1.01280303173359,0.875,0.294,0,"Epithelial cells","FXYD3"
"SMIM22",0,1.00341432292555,0.842,0.212,0,"Epithelial cells","SMIM22"
"KRT18",0,1.00323103704134,0.884,0.366,0,"Epithelial cells","KRT18"
"KRT8",0,0.99880655588707,0.959,0.489,0,"Epithelial cells","KRT8"
"PHGR1",0,0.961803630137994,0.708,0.308,0,"Epithelial cells","PHGR1"
"LGALS4",0,0.938758754865045,0.675,0.2,0,"Epithelial cells","LGALS4"
"CTSE",0,0.929409734560788,0.737,0.189,0,"Epithelial cells","CTSE"
"SFN",0,0.928451251311222,0.722,0.218,0,"Epithelial cells","SFN"
"CA2",0,0.926393875676685,0.707,0.187,0,"Epithelial cells","CA2"
"S100A14",0,0.92516067484933,0.63,0.149,0,"Epithelial cells","S100A14"
"ELF3",0,0.906880815635989,0.79,0.229,0,"Epithelial cells","ELF3"
"CLDN18",0,0.902259094120118,0.783,0.28,0,"Epithelial cells","CLDN18"
"CYSTM1",0,0.898969289398966,0.962,0.527,0,"Epithelial cells","CYSTM1"
"GPX2",0,0.865908761242611,0.692,0.19,0,"Epithelial cells","GPX2"
"MT1G",0,0.85491688356108,0.645,0.202,0,"Epithelial cells","MT1G"
"AKR1B10",0,0.85390907615814,0.583,0.127,0,"Epithelial cells","AKR1B10"
"ANXA10",0,0.848781549551961,0.64,0.156,0,"Epithelial cells","ANXA10"
"AGR3",0,0.844414740008605,0.553,0.098,0,"Epithelial cells","AGR3"
"EPCAM",0,0.830691342795954,0.593,0.138,0,"Epithelial cells","EPCAM"
"PHLDA2",0,0.824412991545486,0.703,0.237,0,"Epithelial cells","PHLDA2"
"GKN2",0,0.802946504152474,0.58,0.287,0,"Epithelial cells","GKN2"
"TACSTD2",0,0.796969810386686,0.619,0.157,0,"Epithelial cells","TACSTD2"
"ARL14",0,0.796452897807293,0.584,0.124,0,"Epithelial cells","ARL14"
"MUC1",0,0.783273136622707,0.716,0.27,0,"Epithelial cells","MUC1"
"MT1E",0,0.78242051159317,0.658,0.209,0,"Epithelial cells","MT1E"
"PIGR",0,0.782076326455377,0.561,0.185,0,"Epithelial cells","PIGR"
"VSIG2",0,0.771189711953,0.682,0.189,0,"Epithelial cells","VSIG2"
"LMO7",0,0.754612844902674,0.557,0.103,0,"Epithelial cells","LMO7"
"TFF2",0,0.72800287101735,0.766,0.499,0,"Epithelial cells","TFF2"
"NQO1",0,0.725130417214309,0.701,0.237,0,"Epithelial cells","NQO1"
"MSMB",0,0.706745256011811,0.585,0.207,0,"Epithelial cells","MSMB"
"TSPAN1",0,0.706199143307854,0.563,0.124,0,"Epithelial cells","TSPAN1"
"C19orf77",0,0.70180408965718,0.506,0.101,0,"Epithelial cells","C19orf77"
"MAL2",0,0.700466858860031,0.519,0.083,0,"Epithelial cells","MAL2"
"SPINT2",0,0.699042949453212,0.678,0.229,0,"Epithelial cells","SPINT2"
"KLF5",0,0.693275273665937,0.534,0.095,0,"Epithelial cells","KLF5"
"HN1",0,0.691328144425833,0.637,0.228,0,"Epithelial cells","HN1"
"TMEM54",0,0.685852884561905,0.506,0.107,0,"Epithelial cells","TMEM54"
"TFF1",0,0.678594544988703,0.879,0.74,0,"Epithelial cells","TFF1"
"MUC5AC",0,0.671156190279542,0.749,0.513,0,"Epithelial cells","MUC5AC"
"RNASE1",0,0.655781610491885,0.707,0.286,0,"Epithelial cells","RNASE1"
"STARD10",0,0.648594989534568,0.552,0.133,0,"Epithelial cells","STARD10"
"S100A16",0,0.648471305834709,0.557,0.203,0,"Epithelial cells","S100A16"
"PSCA",0,0.640602607694113,0.52,0.233,0,"Epithelial cells","PSCA"
"RAB11FIP1",0,0.637185946835869,0.601,0.172,0,"Epithelial cells","RAB11FIP1"
"LAMB3",0,0.637097695171215,0.516,0.12,0,"Epithelial cells","LAMB3"
"PERP",0,0.636861390804194,0.613,0.192,0,"Epithelial cells","PERP"
"LYZ",0,0.630671157616209,0.925,0.629,0,"Epithelial cells","LYZ"
"RBM47",0,0.628390184279923,0.538,0.12,0,"Epithelial cells","RBM47"
"GOLM1",0,0.612683781739388,0.513,0.115,0,"Epithelial cells","GOLM1"
"MT1X",0,0.592377605905845,0.572,0.238,0,"Epithelial cells","MT1X"
"HMGA1",0,0.584664220431286,0.517,0.15,0,"Epithelial cells","HMGA1"
"OCIAD2",0,0.580653015627815,0.602,0.236,0,"Epithelial cells","OCIAD2"
"TUBA1C",0,0.577972221664006,0.548,0.17,0,"Epithelial cells","TUBA1C"
"TSPO",0,0.571160574157014,0.751,0.404,0,"Epithelial cells","TSPO"
"RHOB",0,0.542214219884274,0.638,0.257,0,"Epithelial cells","RHOB"
"BLVRB",0,0.539577206868087,0.554,0.199,0,"Epithelial cells","BLVRB"
"SERPINB1",0,0.538961659741222,0.562,0.221,0,"Epithelial cells","SERPINB1"
"PPDPF",0,0.538109410106609,0.904,0.613,0,"Epithelial cells","PPDPF"
"UQCR10",0,0.536692807447351,0.759,0.423,0,"Epithelial cells","UQCR10"
"EZR",0,0.530381864442424,0.765,0.397,0,"Epithelial cells","EZR"
"LGALS3",0,0.529206682090872,0.647,0.395,0,"Epithelial cells","LGALS3"
"ATP1B1",0,0.523468914022827,0.544,0.19,0,"Epithelial cells","ATP1B1"
"TXN",0,0.523264913858192,0.859,0.606,0,"Epithelial cells","TXN"
"IER3",0,0.521324429809762,0.726,0.379,0,"Epithelial cells","IER3"
"TM9SF3",0,0.520982153447559,0.522,0.153,0,"Epithelial cells","TM9SF3"
"GSTP1",0,0.51762970172339,0.923,0.688,0,"Epithelial cells","GSTP1"
"SCP2",0,0.511289380178485,0.675,0.326,0,"Epithelial cells","SCP2"
"CD55",0,0.508233594059213,0.54,0.235,0,"Epithelial cells","CD55"
"S100A11",0,0.506081129385875,0.868,0.586,0,"Epithelial cells","S100A11"
"IFI27",0,0.503142723930671,0.872,0.553,0,"Epithelial cells","IFI27"
"S100A6",0,0.501492523479376,0.993,0.885,0,"Epithelial cells","S100A6"
"MGST2",0,0.500808594334126,0.552,0.209,0,"Epithelial cells","MGST2"
"KLF2",0,0.494146497427947,0.522,0.216,0,"Epithelial cells","KLF2"
"VDAC1",0,0.471157737718483,0.555,0.242,0,"Epithelial cells","VDAC1"
"VAMP8",0,0.470037689739769,0.631,0.301,0,"Epithelial cells","VAMP8"
"ANXA2",0,0.468995667002146,0.731,0.488,0,"Epithelial cells","ANXA2"
"PRR13",0,0.464703486843606,0.624,0.326,0,"Epithelial cells","PRR13"
"SLC25A5",0,0.463181939515288,0.677,0.435,0,"Epithelial cells","SLC25A5"
"COX8A",0,0.462709236963826,0.753,0.464,0,"Epithelial cells","COX8A"
"P4HB",0,0.462203570613494,0.698,0.405,0,"Epithelial cells","P4HB"
