"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GKN2",0,1.01104254041148,0.969,0.403,0,"0","GKN2"
"MUC5AC",0,0.8180712675215,0.993,0.622,0,"0","MUC5AC"
"TFF1",0,0.771262822706979,0.999,0.809,0,"0","TFF1"
"DPCR1",0,0.74785830215192,0.7,0.252,0,"0","DPCR1"
"S100P",0,0.707634832871638,0.984,0.653,0,"0","S100P"
"CA2",0,0.694517516777367,0.887,0.504,0,"0","CA2"
"GKN1",0,0.687800237921288,0.892,0.499,0,"0","GKN1"
"CLDN18",0,0.683751946870482,0.945,0.589,0,"0","CLDN18"
"SPINK1",0,0.675864088850399,0.986,0.677,0,"0","SPINK1"
"GPX2",0,0.675075100226425,0.859,0.498,0,"0","GPX2"
"ALDH3A1",0,0.66765933165341,0.594,0.233,0,"0","ALDH3A1"
"C19orf33",0,0.635171490978688,0.92,0.585,0,"0","C19orf33"
"TFF2",0,0.630967395104334,0.977,0.636,0,"0","TFF2"
"KLF2",0,0.626181126321924,0.721,0.383,0,"0","KLF2"
"PDE4C",0,0.623669125371703,0.659,0.328,0,"0","PDE4C"
"CTSE",0,0.571907612183732,0.869,0.535,0,"0","CTSE"
"FOXQ1",0,0.568013573257221,0.611,0.292,0,"0","FOXQ1"
"MUC1",0,0.559443080489202,0.885,0.538,0,"0","MUC1"
"AGR2",0,0.550651549534992,0.982,0.749,0,"0","AGR2"
"AKR1B10",0,0.544966517101112,0.738,0.406,0,"0","AKR1B10"
"TACSTD2",0,0.542623471315259,0.757,0.444,0,"0","TACSTD2"
"VSIG1",0,0.534212344610209,0.517,0.207,0,"0","VSIG1"
"RNASE1",0,0.520254027978826,0.849,0.544,0,"0","RNASE1"
"ANXA10",0,0.509496523020884,0.763,0.461,0,"0","ANXA10"
"LAMB3",0,0.50650015526677,0.631,0.366,0,"0","LAMB3"
"SMIM22",0,0.506335194056851,0.894,0.632,0,"0","SMIM22"
"NQO1",0,0.503583466712429,0.799,0.534,0,"0","NQO1"
"CRIP1",0,0.501101486165238,0.824,0.564,0,"0","CRIP1"
"CYSTM1",0,0.495031766747931,0.989,0.819,0,"0","CYSTM1"
"CXCL17",0,0.482220730835998,0.566,0.262,0,"0","CXCL17"
"TESC",0,0.477602149208667,0.556,0.282,0,"0","TESC"
"MT1E",0,0.476556952050296,0.735,0.5,0,"0","MT1E"
"MAL2",0,0.473112879255791,0.61,0.362,0,"0","MAL2"
"VSIG2",0,0.460943583496932,0.76,0.51,0,"0","VSIG2"
"MSMB",0,0.448469652842485,0.751,0.429,0,"0","MSMB"
"STARD10",0,0.448304157845208,0.632,0.403,0,"0","STARD10"
"IER3",0,0.441654536173207,0.828,0.594,0,"0","IER3"
"TAGLN2",0,0.437725188478666,0.896,0.716,0,"0","TAGLN2"
"LINC01133",0,0.433770957004597,0.529,0.285,0,"0","LINC01133"
"TSPO",0,0.426059827626438,0.829,0.625,0,"0","TSPO"
"PPDPF",0,0.42401690429084,0.95,0.803,0,"0","PPDPF"
"RHOB",0,0.410500440442852,0.7,0.505,0,"0","RHOB"
"SFN",0,0.410344329959224,0.79,0.548,0,"0","SFN"
"FXYD3",0,0.40265701056589,0.91,0.684,0,"0","FXYD3"
"S100A11",0,0.374757807352765,0.925,0.767,0,"0","S100A11"
